,,,Business,Business,Business,Business,Standard,Standard,Standard,Standard,Low-cost,Low-cost,Low-cost,Low-cost
,,,Company-owned,Company-owned,Third-party,Third-party,Company-owned,Company-owned,Third-party,Third-party,Company-owned,Company-owned,Third-party,Third-party
,,,Shortest,Extended,Shortest,Extended,Shortest,Extended,Shortest,Extended,Shortest,Extended,Shortest,Extended
User base,Contract duration,Service rate,,,,,,,,,,,,
B+,Single-ride,SR1,57.2854%,-,10.7103%,-,15.9941%,0.0011%,0.0105%,-,15.9966%,-,0.0018%,-
B+,Single-ride,SR2,55.8488%,1.2140%,10.9377%,0.0029%,15.9876%,0.0027%,0.0117%,-,15.9928%,0.0001%,0.0015%,-
B+,1h,SR1,52.9118%,-,15.0903%,-,12.6148%,0.0003%,3.3796%,-,12.6068%,-,3.3962%,-
B+,1h,SR2,52.8200%,0.2219%,14.8565%,0.1013%,12.5624%,0.0001%,3.4311%,0.0001%,12.5899%,-,3.4165%,-
B+,3h,SR1,49.3734%,-,18.6288%,-,11.8804%,0.0003%,4.1153%,-,11.8880%,-,4.1137%,-
B+,3h,SR2,49.3363%,0.0982%,18.5182%,0.0459%,11.8969%,0.0003%,4.1011%,0.0001%,11.8927%,-,4.1101%,-
B+,,,59.4252%,8.5701%,-,-,16.0005%,0.0009%,-,-,16.0031%,-,-,-
B+,,,57.3286%,10.6694%,-,-,15.9933%,0.0080%,-,-,16.0004%,-,-,-
S+,Single-ride,SR1,13.6155%,-,2.3787%,-,67.4612%,0.0539%,0.4915%,0.0001%,15.9980%,-,0.0011%,-
S+,Single-ride,SR2,13.4649%,0.2204%,2.2742%,0.0315%,67.3413%,0.1302%,0.5288%,0.0001%,16.0072%,-,0.0011%,-
S+,1h,SR1,14.2284%,-,1.7694%,-,62.8125%,0.0064%,5.1831%,0.0009%,14.5811%,-,1.4179%,-
S+,1h,SR2,14.1904%,0.0771%,1.7132%,0.0222%,62.9313%,0.0168%,5.0504%,0.0025%,14.5693%,-,1.4266%,-
S+,3h,SR1,13.7130%,-,2.2904%,-,59.5260%,0.0025%,8.4773%,0.0003%,13.9752%,-,2.0150%,-
S+,3h,SR2,13.7304%,0.0428%,2.2056%,0.0160%,59.7762%,0.0047%,8.2189%,0.0008%,14.0190%,-,1.9855%,-
S+,,,14.7813%,1.2169%,-,-,67.8550%,0.1486%,-,-,15.9979%,-,-,-
S+,,,13.6850%,2.3107%,-,-,67.4889%,0.5130%,-,-,16.0022%,0.0001%,-,-
L+,Single-ride,SR1,13.8569%,-,2.1488%,-,15.7784%,0.0225%,0.1911%,0.0005%,67.9825%,0.0025%,0.0167%,-
L+,Single-ride,SR2,13.6977%,0.1814%,2.0639%,0.0527%,15.7530%,0.0465%,0.1954%,0.0009%,67.9830%,0.0068%,0.0184%,-
L+,1h,SR1,14.5700%,-,1.4315%,-,15.1728%,0.0024%,0.8173%,0.0002%,63.4140%,-,4.5916%,-
L+,1h,SR2,14.5320%,0.0722%,1.3808%,0.0143%,15.1925%,0.0052%,0.7957%,0.0003%,63.5194%,0.0001%,4.4872%,-
L+,3h,SR1,14.1208%,-,1.8797%,-,14.4227%,0.0006%,1.5807%,0.0001%,60.5403%,-,7.4549%,-
L+,3h,SR2,14.1289%,0.0394%,1.8160%,0.0096%,14.4866%,0.0015%,1.5131%,0.0001%,60.7564%,0.0001%,7.2482%,-
L+,,,14.6725%,1.3332%,-,-,15.8161%,0.1760%,-,-,68.0018%,0.0001%,-,-
L+,,,13.8687%,2.1186%,-,-,15.8047%,0.1970%,-,-,67.9999%,0.0109%,-,-
