,instance_name,maximal_hiring_delay,batch_duration,simulation_time,max_requests,initial_fleet,max_capacity,customer_segmentation,contract_duration,service_rate,allow_vehicle_hiring,allow_service_deterioration,rebalance,matching,serviced_seats,picking_up_seats,rebalancing_seats,parked_seats,serviced,denied,max_hired,occupancy,o1,o2,o3,o4,v1,v2,v3,v4,mean_hired,median_hired,avg_seats,max_seats,id_max_seats,median_seats,mean_active,total_requests,avg_pk_delay,avg_ride_delay,total_runtime_s,avg_runtime_s,distance_cruising,distance_loaded,distance_rebalancing,distance_total
IN-SCENARIO_HC-150_BA-30_ST-3600_MR-1000_IF-1000_MC-4_CS-AA_CD-0_SR-S10_VH_SD_RE-OP_OPT-ERTV,SCENARIO,150,30,3600,1000,1000,4,AA,0,S10,True,True,OP,ERTV,24.77%,9.91%,3.99%,61.33%,100.00%,0.00%,657.0,24.77%,69.22%,21.99%,6.40%,2.40%,82.69%,12.37%,3.24%,1.71%,336.30,452.0,438.18,854.0,2011-02-01 18:55:30,596.0,793.7027027027027,14234.0,108.58,124.18,836.98,4.52,nan%,nan%,nan%,0.0
IN-SCENARIO_HC-150_BA-30_ST-3600_MR-1000_IF-1000_MC-4_CS-AA_CD-0_SR-S8_VH_SD_RE-OP_OPT-ERTV,SCENARIO,150,30,3600,1000,1000,4,AA,0,S8,True,True,OP,ERTV,24.71%,10.57%,4.69%,60.04%,99.90%,0.10%,619.0,24.71%,66.60%,23.95%,6.89%,2.56%,80.75%,14.78%,2.99%,1.49%,304.73,420.0,393.54,796.0,2011-02-01 18:57:30,532.0,757.8115183246073,14234.0,128.29,149.69,1853.63,9.70,nan%,nan%,nan%,0.0
IN-SCENARIO_HC-150_BA-30_ST-3600_MR-1000_IF-1000_MC-4_CS-AA_CD-0_SR-S9_VH_SD_RE-OP_OPT-ERTV,SCENARIO,150,30,3600,1000,1000,4,AA,0,S9,True,True,OP,ERTV,24.92%,10.48%,4.63%,59.97%,99.98%,0.02%,645.0,24.92%,67.57%,23.42%,6.48%,2.54%,79.97%,15.54%,3.14%,1.36%,327.16,461.0,424.30,854.0,2011-02-01 18:59:30,596.0,779.75935828877,14234.0,118.87,138.19,1704.90,9.12,nan%,nan%,nan%,0.0
IN-SCENARIO_HC-150_BA-30_ST-3600_MR-1000_IF-1000_MC-4_CS-BB_CD-0_SR-S10_VH_SD_RE-OP_OPT-ERTV,SCENARIO,150,30,3600,1000,1000,4,BB,0,S10,True,True,OP,ERTV,25.39%,9.86%,3.89%,60.85%,100.00%,0.00%,602.0,25.39%,64.18%,24.09%,8.41%,3.32%,77.50%,16.62%,3.45%,2.44%,279.35,360.5,370.65,799.0,2011-02-01 18:57:30,488.0,728.2234042553191,14234.0,112.30,136.74,1414.21,7.52,nan%,nan%,nan%,0.0
IN-SCENARIO_HC-150_BA-30_ST-3600_MR-1000_IF-1000_MC-4_CS-BB_CD-0_SR-S8_VH_SD_RE-OP_OPT-ERTV,SCENARIO,150,30,3600,1000,1000,4,BB,0,S8,True,True,OP,ERTV,25.49%,10.13%,4.35%,60.03%,99.97%,0.03%,568.0,25.49%,63.42%,24.06%,8.82%,3.70%,76.15%,14.74%,6.72%,2.39%,244.80,320.5,322.75,747.0,2011-02-01 18:57:30,430.5,700.5670103092783,14234.0,135.63,167.42,2439.43,12.57,nan%,nan%,nan%,0.0
IN-SCENARIO_HC-150_BA-30_ST-3600_MR-1000_IF-1000_MC-4_CS-BB_CD-0_SR-S9_VH_SD_RE-OP_OPT-ERTV,SCENARIO,150,30,3600,1000,1000,4,BB,0,S9,True,True,OP,ERTV,26.10%,10.82%,4.28%,58.80%,99.99%,0.01%,601.0,26.10%,62.25%,25.68%,8.28%,3.80%,79.43%,12.47%,5.91%,2.18%,278.79,372.0,369.45,780.0,2011-02-01 18:19:30,496.0,739.5351351351351,14234.0,125.58,152.92,2255.83,12.19,nan%,nan%,nan%,0.0
IN-SCENARIO_HC-150_BA-30_ST-3600_MR-1000_IF-1000_MC-4_CS-CC_CD-0_SR-S10_VH_SD_RE-OP_OPT-ERTV,SCENARIO,150,30,3600,1000,1000,4,CC,0,S10,True,True,OP,ERTV,25.57%,11.55%,3.59%,59.29%,100.00%,0.00%,685.0,25.57%,64.40%,23.96%,8.28%,3.36%,78.55%,14.93%,3.72%,2.80%,306.21,412.0,405.38,909.0,2011-02-01 18:18:30,550.0,745.3279569892474,14234.0,127.11,153.41,1813.61,9.75,nan%,nan%,nan%,0.0
IN-SCENARIO_HC-150_BA-30_ST-3600_MR-1000_IF-1000_MC-4_CS-CC_CD-0_SR-S8_VH_SD_RE-OP_OPT-ERTV,SCENARIO,150,30,3600,1000,1000,4,CC,0,S8,True,True,OP,ERTV,25.88%,10.65%,3.53%,59.94%,99.96%,0.04%,556.0,25.88%,61.72%,25.32%,9.00%,3.97%,63.91%,27.92%,6.08%,2.09%,235.06,301.0,311.80,721.0,2011-02-01 18:20:30,413.0,697.4404145077721,14234.0,150.27,183.78,2371.18,12.29,nan%,nan%,nan%,0.0
IN-SCENARIO_HC-150_BA-30_ST-3600_MR-1000_IF-1000_MC-4_CS-CC_CD-0_SR-S9_VH_SD_RE-OP_OPT-ERTV,SCENARIO,150,30,3600,1000,1000,4,CC,0,S9,True,True,OP,ERTV,24.60%,10.70%,3.51%,61.18%,99.99%,0.01%,615.0,24.60%,63.12%,24.86%,8.44%,3.57%,74.24%,15.39%,8.26%,2.11%,262.70,363.0,344.76,819.0,2011-02-01 18:18:30,466.0,692.7979797979798,14234.0,139.45,169.17,2432.48,12.29,nan%,nan%,nan%,0.0
IN-SCENARIO_HC-1_BA-30_ST-3600_MR-1000_IF-1000_MC-4_CS-AA_CD-0_SR-S0_VH_SD_RE-OP_OPT-JAVIER,SCENARIO,1,30,3600,1000,1000,4,AA,0,S0,True,True,OP,JAVIER,21.57%,9.54%,3.70%,65.18%,77.34%,22.66%,0.0,21.57%,62.12%,26.40%,8.29%,3.20%,0.00%,0.00%,0.00%,100.00%,0.00,0.0,4000.00,4000.0,2011-02-01 18:00:30,4000.0,536.5589743589744,14234.0,222.30,254.15,1694.11,8.69,nan%,nan%,nan%,0.0
