Segmentation scenario,Contract duration,Service rate,occupancy,o1,o2,o3,o4,v1,v2,v3,v4,Avg,id_max_seats,Max,Median,Cruising,Servicing,Rebalancing,Total (Km),serviced_seats,picking_up_seats,rebalancing_seats,parked_seats,avg_runtime,dif
B+,Single-ride,SR1,31.98%,63.22%,22.97%,8.98%,4.83%,74.96%,16.38%,4.79%,3.88%,260.70,2011-02-05 23:23:30,1571,109,13.79%,77.87%,8.34%,4540777,31.98%,9.69%,7.53%,50.81%,0.08,-4022
B+,Single-ride,SR2,32.02%,63.11%,22.95%,9.05%,4.89%,75.09%,16.06%,5.05%,3.79%,260.72,2011-02-06 00:09:30,1559,109,13.82%,77.90%,8.29%,4538805,32.02%,9.74%,7.49%,50.75%,0.05,-5994
B+,1h,SR1,28.42%,70.19%,19.44%,6.86%,3.51%,69.59%,17.94%,5.71%,6.76%,423.06,2011-02-05 23:57:00,2150,226,16.03%,73.30%,10.67%,4604175,28.42%,10.26%,10.04%,51.29%,0.18,59376
B+,1h,SR2,28.53%,70.05%,19.50%,6.89%,3.55%,69.75%,16.91%,6.59%,6.75%,419.01,2011-02-06 00:14:30,2164,215,16.00%,73.44%,10.56%,4601558,28.53%,10.27%,9.92%,51.28%,0.08,56759
B+,3h,SR1,26.50%,73.13%,18.09%,5.88%,2.90%,67.77%,17.28%,6.71%,8.23%,585.00,2011-02-06 00:16:30,2441,393,16.27%,70.39%,13.34%,4541411,26.50%,9.73%,12.47%,51.31%,0.08,-3388
B+,3h,SR2,26.59%,73.00%,18.14%,5.92%,2.93%,67.46%,17.84%,6.34%,8.36%,579.32,2011-02-06 00:03:30,2489,392,16.26%,70.47%,13.26%,4542174,26.59%,9.73%,12.37%,51.31%,0.07,-2625
B+,Baseline,Baseline,29.90%,59.31%,24.69%,10.40%,5.59%,nan%,nan%,nan%,nan%,0.00,2011-02-01 00:00:30,0,0,13.81%,77.90%,8.29%,4544799,29.90%,9.20%,7.64%,53.27%,0.06,0
S+,Single-ride,SR1,34.17%,54.54%,23.65%,12.39%,9.42%,66.31%,16.99%,6.11%,10.59%,86.00,2011-02-05 23:53:30,1097,7,13.09%,77.32%,9.59%,4576225,34.17%,8.33%,8.75%,48.76%,0.16,-4139
S+,Single-ride,SR2,34.26%,54.37%,23.61%,12.46%,9.55%,64.63%,18.08%,6.90%,10.39%,84.38,2011-02-06 00:01:30,1112,7,13.06%,77.41%,9.53%,4574027,34.26%,8.32%,8.70%,48.72%,0.06,-6337
S+,1h,SR1,31.91%,58.47%,23.51%,10.91%,7.11%,61.81%,18.58%,6.58%,13.03%,180.28,2011-02-06 00:43:00,1413,31,14.13%,75.48%,10.39%,4600001,31.91%,8.68%,9.61%,49.80%,0.06,19637
S+,1h,SR2,32.05%,58.29%,23.48%,10.99%,7.25%,63.33%,15.76%,7.04%,13.86%,175.09,2011-02-06 00:10:00,1416,29,14.09%,75.58%,10.33%,4598129,32.05%,8.67%,9.56%,49.73%,0.16,17765
S+,3h,SR1,30.23%,61.98%,22.52%,9.69%,5.81%,60.82%,17.09%,6.11%,15.98%,298.47,2011-02-06 00:44:30,1860,135,14.67%,73.76%,11.57%,4581919,30.23%,8.74%,10.73%,50.30%,0.19,1555
S+,3h,SR2,30.39%,61.61%,22.58%,9.83%,5.97%,60.42%,17.03%,7.46%,15.10%,291.20,2011-02-06 01:10:30,1868,130,14.62%,73.89%,11.49%,4581213,30.39%,8.71%,10.64%,50.26%,0.09,849
S+,Baseline,Baseline,33.83%,53.19%,23.88%,12.95%,9.99%,nan%,nan%,nan%,nan%,0.00,2011-02-01 00:00:30,0,0,13.14%,77.27%,9.59%,4580364,33.83%,7.99%,8.83%,49.34%,0.06,0
L+,Single-ride,SR1,34.91%,53.61%,23.57%,12.64%,10.17%,66.38%,18.12%,6.77%,8.73%,67.77,2011-02-06 00:00:30,998,5,12.89%,77.99%,9.13%,4556255,34.91%,8.39%,8.33%,48.37%,0.11,-4022
L+,Single-ride,SR2,35.01%,53.49%,23.50%,12.71%,10.30%,67.93%,16.15%,6.35%,9.57%,65.99,2011-02-05 23:56:30,1012,5,12.86%,78.06%,9.08%,4554852,35.01%,8.38%,8.28%,48.33%,0.07,-5425
L+,1h,SR1,32.84%,56.66%,23.74%,11.60%,7.99%,61.52%,16.68%,6.78%,15.02%,148.83,2011-02-06 00:05:00,1292,25,13.92%,76.22%,9.86%,4583001,32.84%,8.79%,9.08%,49.29%,0.07,22724
L+,1h,SR2,32.96%,56.49%,23.73%,11.65%,8.13%,59.70%,18.28%,6.69%,15.34%,143.53,2011-02-06 00:10:00,1312,22,13.85%,76.35%,9.81%,4580139,32.96%,8.78%,9.03%,49.23%,0.11,19862
L+,3h,SR1,31.09%,60.06%,22.97%,10.42%,6.55%,58.73%,17.03%,7.72%,16.53%,258.31,2011-02-06 01:01:30,1787,107,14.46%,74.57%,10.97%,4572658,31.09%,8.80%,10.12%,49.98%,0.13,12381
L+,3h,SR2,31.26%,59.74%,23.03%,10.53%,6.70%,60.02%,15.14%,7.91%,16.93%,250.73,2011-02-06 01:05:30,1667,106,14.39%,74.71%,10.90%,4572325,31.26%,8.78%,10.05%,49.91%,0.10,12048
L+,Baseline,Baseline,34.66%,52.28%,23.65%,13.16%,10.91%,nan%,nan%,nan%,nan%,0.00,2011-02-01 00:00:30,0,0,12.96%,77.91%,9.13%,4560277,34.66%,8.20%,8.37%,48.78%,0.11,0
