,instance_name,maximal_hiring_delay,batch_duration,simulation_time,max_requests,initial_fleet,max_capacity,customer_segmentation,contract_duration,service_rate,allow_vehicle_hiring,allow_service_deterioration,rebalance,matching,serviced_seats,picking_up_seats,rebalancing_seats,parked_seats,serviced,denied,max_hired,occupancy,o1,o2,o3,o4,v1,v2,v3,v4,mean_hired,median_hired,avg_seats,max_seats,id_max_seats,median_seats,mean_active,total_requests,avg_pk_delay,avg_ride_delay,total_runtime_s,avg_runtime_s,distance_cruising,distance_loaded,distance_rebalancing,distance_total
IN-PLUS_HC-150_BA-30_ST-3600_MR-1000_IF-1000_MC-4_CS-AA_CD-0_SR-S0_VH_SD_RE-OP_OPT-ERTV,PLUS,150,30,3600,1000,1000,4,AA,0,S0,True,True,OP,ERTV,26.37%,7.39%,3.99%,62.25%,100.00%,0.00%,510.0,26.37%,65.89%,22.81%,7.82%,3.48%,77.88%,16.62%,4.20%,1.30%,256.37,362.5,332.02,679.0,2011-02-01 18:59:30,476.0,759.75,14234.0,121.17,149.31,2972.13,15.81,nan%,nan%,nan%,0.0
IN-PLUS_HC-150_BA-30_ST-3600_MR-1000_IF-1000_MC-4_CS-AA_CD-0_SR-S0_VH_SD_RE-OP_OPT-JAVIER,PLUS,150,30,3600,1000,1000,4,AA,0,S0,True,True,OP,JAVIER,23.63%,9.20%,2.16%,65.01%,84.99%,15.01%,0.0,23.63%,60.19%,25.34%,9.58%,4.88%,0.00%,0.00%,0.00%,100.00%,0.00,0.0,4000.00,4000.0,2011-02-01 18:00:30,4000.0,550.5918367346939,14234.0,228.84,263.80,21289.24,108.62,nan%,nan%,nan%,0.0
IN-PLUS_HC-150_BA-30_ST-3600_MR-1000_IF-1000_MC-4_CS-AA_CD-0_SR-S0_VH_SD_RE-OP_OPT-JAVIERSL,PLUS,150,30,3600,1000,1000,4,AA,0,S0,True,True,OP,JAVIERSL,25.33%,8.45%,4.97%,61.26%,85.23%,14.77%,0.0,25.33%,58.62%,26.14%,10.30%,4.95%,0.00%,0.00%,0.00%,100.00%,0.00,0.0,4000.00,4000.0,2011-02-01 18:00:30,4000.0,597.3763440860215,14234.0,193.15,228.27,12871.69,69.20,nan%,nan%,nan%,0.0
IN-PLUS_HC-150_BA-30_ST-3600_MR-1000_IF-1000_MC-4_CS-AA_CD-0_SR-S10_VH_SD_RE-OP_OPT-ERTV,PLUS,150,30,3600,1000,1000,4,AA,0,S10,True,True,OP,ERTV,26.36%,7.42%,3.85%,62.37%,100.00%,0.00%,520.0,26.36%,66.68%,22.11%,7.74%,3.47%,79.92%,14.75%,4.16%,1.17%,254.74,355.0,327.55,675.0,2011-02-01 18:21:30,457.5,759.8404255319149,14234.0,122.36,149.87,3153.85,16.78,nan%,nan%,nan%,0.0
IN-PLUS_HC-150_BA-30_ST-3600_MR-1000_IF-1000_MC-4_CS-AA_CD-0_SR-S10_VH_SD_RE-OP_OPT-JAVIERSL,PLUS,150,30,3600,1000,1000,4,AA,0,S10,True,True,OP,JAVIERSL,24.56%,8.34%,4.82%,62.28%,84.92%,15.08%,0.0,24.56%,56.74%,28.72%,9.88%,4.65%,0.00%,0.00%,0.00%,100.00%,0.00,0.0,4000.00,4000.0,2011-02-01 18:00:30,4000.0,581.020942408377,14234.0,193.14,228.48,10729.68,56.18,nan%,nan%,nan%,0.0
IN-PLUS_HC-150_BA-30_ST-3600_MR-1000_IF-1000_MC-4_CS-AA_CD-0_SR-S8_VH_SD_RE-OP_OPT-ERTV,PLUS,150,30,3600,1000,1000,4,AA,0,S8,True,True,OP,ERTV,25.65%,7.65%,4.37%,62.33%,100.00%,0.00%,493.0,25.65%,66.83%,21.76%,7.86%,3.55%,76.39%,19.41%,2.74%,1.46%,223.88,309.0,287.88,660.0,2011-02-01 18:59:30,395.5,722.2397959183673,14234.0,136.80,166.52,6993.08,35.68,nan%,nan%,nan%,0.0
IN-PLUS_HC-150_BA-30_ST-3600_MR-1000_IF-1000_MC-4_CS-AA_CD-0_SR-S8_VH_SD_RE-OP_OPT-JAVIERSL,PLUS,150,30,3600,1000,1000,4,AA,0,S8,True,True,OP,JAVIERSL,25.20%,8.51%,5.20%,61.08%,85.09%,14.91%,0.0,25.20%,56.91%,28.23%,10.24%,4.62%,0.00%,0.00%,0.00%,100.00%,0.00,0.0,4000.00,4000.0,2011-02-01 18:00:30,4000.0,595.7688172043011,14234.0,193.80,228.82,11992.77,64.48,nan%,nan%,nan%,0.0
IN-PLUS_HC-150_BA-30_ST-3600_MR-1000_IF-1000_MC-4_CS-AA_CD-0_SR-S9_VH_SD_RE-OP_OPT-ERTV,PLUS,150,30,3600,1000,1000,4,AA,0,S9,True,True,OP,ERTV,26.94%,7.72%,4.29%,61.05%,100.00%,0.00%,497.0,26.94%,66.16%,22.07%,8.03%,3.74%,79.67%,15.79%,3.21%,1.32%,243.75,336.0,312.27,659.0,2011-02-01 18:59:30,427.0,764.7956989247311,14234.0,128.34,157.75,5851.98,31.46,nan%,nan%,nan%,0.0
IN-PLUS_HC-150_BA-30_ST-3600_MR-1000_IF-1000_MC-4_CS-AA_CD-0_SR-S9_VH_SD_RE-OP_OPT-JAVIERSL,PLUS,150,30,3600,1000,1000,4,AA,0,S9,True,True,OP,JAVIERSL,24.53%,8.15%,4.81%,62.51%,85.18%,14.82%,0.0,24.53%,56.14%,29.40%,9.74%,4.71%,0.00%,0.00%,0.00%,100.00%,0.00,0.0,4000.00,4000.0,2011-02-01 18:00:30,4000.0,578.1041666666666,14234.0,194.43,229.75,11291.58,58.81,nan%,nan%,nan%,0.0
IN-PLUS_HC-150_BA-30_ST-3600_MR-1000_IF-1000_MC-4_CS-BB_CD-0_SR-S0_VH_SD_RE-OP_OPT-ERTV,PLUS,150,30,3600,1000,1000,4,BB,0,S0,True,True,OP,ERTV,30.80%,5.50%,3.70%,60.00%,100.00%,0.00%,181.0,30.80%,48.17%,22.22%,16.23%,13.38%,72.95%,20.00%,4.53%,2.52%,60.88,64.5,83.92,251.0,2011-02-01 18:21:30,93.0,570.2070707070707,14234.0,132.81,204.33,6580.62,33.24,nan%,nan%,nan%,0.0
