customer_segmentation,service_rate,matching,serviced_seats,picking_up_seats,rebalancing_seats,parked_seats,serviced,denied,max_hired,occupancy,o1,o2,o3,o4,v1,v2,v3,v4,mean_hired,median_hired,avg_seats,max_seats,id_max_seats,median_seats,mean_active,total_requests,total_runtime_s,avg_runtime_s
AA,S10,ERTV,31.68%,12.58%,3.82%,51.92%,100.00%,0.00%,680,31.68%,69.92%,20.38%,6.91%,2.79%,23.19%,4.56%,1.11%,71.14%,455.82,529,4588.24,4884,2011-02-01 19:00,4684,1017.91055,41957,2303.56,5.28
AA,S10,JAVIERSL,28.51%,10.37%,4.36%,56.77%,76.66%,23.34%,0,28.51%,62.18%,24.82%,9.17%,3.83%,0.00%,0.00%,0.00%,100.00%,0,0,4000,4000,2011-02-01 18:00,4000,706.8552036,41957,5172.89,11.7
AA,S8,ERTV,32.72%,13.48%,4.02%,49.78%,99.87%,0.13%,650,32.72%,67.66%,21.72%,7.38%,3.24%,21.94%,4.32%,0.99%,72.75%,417.56,484,4534.14,4815,2011-02-01 19:09,4623,1006.395402,41957,4495.18,10.33
AA,S8,JAVIERSL,28.31%,10.30%,4.42%,56.97%,76.43%,23.57%,0,28.31%,63.18%,23.99%,9.01%,3.82%,0.00%,0.00%,0.00%,100.00%,0,0,4000,4000,2011-02-01 18:00,4000,705.9413093,41957,4677.51,10.56
BB,S0,ERTV,34.52%,11.78%,4.28%,49.42%,86.14%,13.86%,0,34.52%,46.88%,29.46%,15.29%,8.37%,0.00%,0.00%,0.00%,100.00%,0,0,4000,4000,2011-02-01 18:00,4000,706.293578,41957,6744.53,15.47
BB,S0,JAVIERSL,34.67%,11.76%,4.21%,49.35%,86.39%,13.61%,0,34.67%,46.57%,29.91%,15.32%,8.20%,0.00%,0.00%,0.00%,100.00%,0,0,4000,4000,2011-02-01 18:00,4000,709.045977,41957,6222.73,14.31
BB,S10,ERTV,32.16%,14.29%,4.82%,48.72%,100.00%,0.00%,747,32.16%,62.64%,23.96%,9.39%,4.01%,23.98%,4.61%,1.19%,70.21%,485.19,560.5,4632.89,4976,2011-02-01 18:18,4740,959.3217593,41957,3366.4,7.79
BB,S10,JAVIERSL,34.47%,10.31%,5.12%,50.10%,87.12%,12.88%,0,34.47%,48.76%,27.86%,14.87%,8.51%,0.00%,0.00%,0.00%,100.00%,0,0,4000,4000,2011-02-01 18:00,4000,714.4711316,41957,5867.88,13.55
BB,S8,ERTV,33.64%,14.30%,4.44%,47.62%,99.94%,0.06%,656,33.64%,60.64%,24.68%,10.15%,4.54%,20.86%,4.10%,1.06%,73.99%,394.79,465,4510.33,4852,2011-02-01 18:57,4604,947.7875289,41957,5937.27,13.71
BB,S8,JAVIERSL,34.53%,10.34%,4.96%,50.18%,87.41%,12.59%,0,34.53%,48.21%,28.15%,15.33%,8.31%,0.00%,0.00%,0.00%,100.00%,0,0,4000,4000,2011-02-01 18:00,4000,713.4804598,41957,5418.51,12.46
BB,S9,ERTV,32.90%,14.71%,4.35%,48.04%,99.98%,0.02%,698,32.90%,61.78%,24.35%,9.70%,4.17%,22.55%,4.31%,1.09%,72.05%,439.34,512,4567.94,4900,2011-02-01 18:18,4665,956.039261,41957,5910.32,13.65
BB,S9,JAVIERSL,34.32%,10.44%,4.93%,50.31%,87.13%,12.87%,0,34.32%,48.56%,28.42%,14.79%,8.24%,0.00%,0.00%,0.00%,100.00%,0,0,4000,4000,2011-02-01 18:00,4000,713.3317972,41957,5734.78,13.21
CC,S10,ERTV,31.68%,16.23%,4.55%,47.54%,100.00%,0.00%,826,31.68%,62.92%,23.66%,9.50%,3.92%,25.39%,4.92%,1.35%,68.34%,536.87,627,4704.83,5081,2011-02-01 19:12,4826,964.6004619,41957,3537.89,8.17
CC,S10,JAVIERSL,33.80%,10.99%,4.09%,51.13%,86.38%,13.62%,0,33.80%,49.22%,28.38%,14.45%,7.95%,0.00%,0.00%,0.00%,100.00%,0,0,4000,4000,2011-02-01 18:00,4000,709.2580645,41957,5556.41,12.8
