,A_count,A_dp,A_pk,A_unmet_slevels,B_count,B_dp,B_pk,B_unmet_slevels,C_count,C_dp,C_pk,C_unmet_slevels,V1,V2,V3,V4,avg_pk_delay,avg_ride_delay,denied,distance_cruising,distance_loaded,distance_rebalancing,distance_total,seats_V1,seats_V2,seats_V3,seats_V4,serviced,total_requests,total_runtime,total_seats
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-AA_RE,128059.0,123.11,123.11,16290.0,33926.0,300.81,156.82,17.0,33932.0,406.95,188.92,0.0,0.0,0.0,0.0,1000.0,123.85,173.97,7.68%,5.93%,31.93%,62.14%,1510919.0,0.0,0.0,0.0,4000.0,92.32%,212224.0,11.06,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-AA_RE_CT,127995.0,123.1,123.1,16357.0,33906.0,300.18,156.12,11.0,33955.0,406.66,188.62,0.0,0.0,0.0,0.0,1000.0,103.87,139.00,7.71%,14.21%,77.23%,8.55%,625295.0,0.0,0.0,0.0,4000.0,92.29%,212224.0,5.40,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-AA_RE_CT_MO,123299.0,125.9,125.9,20983.0,33940.0,313.95,160.17,12.0,33990.0,433.38,202.34,0.0,0.0,0.0,0.0,1000.0,114.07,152.31,9.89%,12.73%,83.88%,3.39%,551292.0,0.0,0.0,0.0,4000.0,90.11%,212224.0,3.51,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-AA_RE_CT_MO_RT,126105.0,125.29,125.29,18226.0,33966.0,309.25,159.11,14.0,33913.0,421.75,195.85,0.0,0.0,0.0,0.0,1000.0,114.64,152.98,8.59%,13.27%,82.71%,4.03%,572702.0,0.0,0.0,0.0,4000.0,91.41%,212224.0,2.96,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-AA_RE_CT_MO_RT_UR,125217.0,125.48,125.48,19081.0,33963.0,311.21,159.54,13.0,33949.0,428.37,199.38,1.0,0.0,0.0,0.0,1000.0,114.20,152.48,9.00%,13.10%,83.13%,3.77%,566001.0,0.0,0.0,0.0,4000.0,91.00%,212224.0,3.23,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-AA_RE_CT_MO_UR,123001.0,125.84,125.84,21311.0,33961.0,313.9,160.03,12.0,33939.0,432.57,203.54,0.0,0.0,0.0,0.0,1000.0,114.60,153.02,10.05%,12.74%,83.96%,3.30%,549195.0,0.0,0.0,0.0,4000.0,89.95%,212224.0,3.68,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-AA_RE_CT_RT,127957.0,122.93,122.93,16375.0,33942.0,301.04,156.49,11.0,33939.0,405.9,189.49,0.0,0.0,0.0,0.0,1000.0,103.00,137.47,7.72%,14.31%,77.11%,8.57%,625826.0,0.0,0.0,0.0,4000.0,92.28%,212224.0,4.34,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-AA_RE_CT_RT_UR,127890.0,123.42,123.42,16414.0,33948.0,299.48,156.48,14.0,33958.0,407.18,189.57,0.0,0.0,0.0,0.0,1000.0,103.34,137.74,7.74%,14.29%,77.21%,8.50%,625286.0,0.0,0.0,0.0,4000.0,92.26%,212224.0,4.15,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-AA_RE_CT_UR,127957.0,123.07,123.07,16333.0,33968.0,299.77,156.15,9.0,33957.0,407.72,190.6,0.0,0.0,0.0,0.0,1000.0,104.03,139.39,7.70%,14.28%,77.20%,8.52%,624941.0,0.0,0.0,0.0,4000.0,92.30%,212224.0,12.57,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-AA_RE_MO,123522.0,126.03,126.03,20832.0,33942.0,316.14,160.51,19.0,33909.0,436.95,203.14,0.0,0.0,0.0,0.0,1000.0,115.55,155.11,9.82%,12.71%,84.00%,3.30%,551460.0,0.0,0.0,0.0,4000.0,90.18%,212224.0,3.55,4000.0
